"","SPP","SEX","AGE","BIOYR","CALYR","MMDD","SAMPLE_MET","ANYPOSNO","Id","x","y"
"36","MD","M",">=2",2004,2004,1018,"Harvest","NEG",14976,447600.198425286,4528786.96973171
"37","MD","M",">=2",2004,2004,1112,"Harvest","NEG",14975,448028.66654145,4525349.59864742
"38","MD","M",">=2",2004,2004,913,"Harvest","NEG",14977,447497.521644436,4531968.11588743
"39","MD","M",">=2",2004,2004,1018,"Harvest","NEG",14971,447689.686729454,4512028.80041853
"40","MD","M",">=2",2004,2004,1109,"Harvest","NEG",14971,448127.407624885,4513522.39147361
"41","MD","F",">=2",2004,2004,907,"Harvest","NEG",14974,448517.245395571,4521804.67040032
"42","MD","F",">=2",2004,2004,1106,"Harvest","NEG",15126,449528.929543279,4530369.26768285
"43","MD","F",">=2",2004,2004,1106,"Harvest","NEG",15126,448767.177032463,4530507.42960994
"44","MD","M","1",2004,2004,1020,"Harvest","POS",15122,449007.037431426,4518326.65806812
"45","MD","M",">=2",2004,2004,1107,"Harvest","NEG",15122,449528.79312779,4520175.53779613
"46","MD","M","1",2004,2004,1018,"Harvest","NEG",15120,449614.375546925,4513771.74661688
"47","MD","M","1",2004,2004,1019,"Harvest","NEG",15120,449674.410876743,4512086.53697941
"48","MD","M","1",2004,2004,1110,"Harvest","NEG",15126,450952.231158935,4529810.725788
"49","MD","F","<1",2004,2004,1210,"Harvest","NEG",15126,450460.323248863,4530331.90722482
"50","MD","M","1",2004,2004,1018,"Harvest","NEG",15118,451410.072873749,4505346.35567498
"51","MD","M",">=2",2004,2004,1027,"Harvest","NEG",15274,451932.119423024,4526521.42892238
"52","MD","F","<1",2004,2004,1108,"Harvest","NEG",15274,452497.079916164,4528380.65099932
"53","MD","M","1",2004,2004,913,"Harvest","NEG",15275,452286.141059473,4531978.48432813
"54","MD","F",">=2",2004,2004,1106,"Harvest","NEG",15275,452707.37485487,4531974.71488681
"55","MD","F",">=2",2004,2004,1102,"Harvest","NEG",15268,452777.333909348,4508952.3894947
"56","MD","M",">=2",2004,2004,1020,"Harvest","NEG",15268,452694.114411324,4508448.24811444
"57","MD","M",">=2",2004,2004,1020,"Harvest","NEG",15268,452663.384522386,4508662.75019385
"58","MD","M",">=2",2004,2004,1025,"Harvest","NEG",15267,453078.474912278,4507286.44100688
"59","MD","F",">=2",2004,2004,918,"Harvest","NEG",15274,453864.641472243,4528433.29459406
"60","MD","M",">=2",2004,2004,1022,"Harvest","NEG",15271,453953.142618023,4519627.05821932
"61","MD","M","1",2004,2004,911,"Harvest","NEG",15272,454153.318165064,4521365.11751565
"62","MD","M",">=2",2004,2004,1021,"Harvest","NEG",15270,454189.811582975,4514958.81798465
"63","MD","M",">=2",2004,2004,1019,"Harvest","NEG",15270,454301.514943555,4516908.1515018
"64","MD","M",">=2",2004,2004,1019,"Harvest","NEG",15270,453816.544653714,4516599.50662051
"65","MD","M",">=2",2004,2004,1101,"Harvest","POS",15270,454409.7364944,4516672.45949694
"66","MD","M",">=2",2004,2004,1021,"Harvest","NEG",15277,453970.702288315,4536450.78586601
"67","MD","M",">=2",2004,2004,1023,"Harvest","NEG",15277,453940.136704236,4536625.07511117
"68","MD","F",">=2",2004,2004,913,"Harvest","NEG",15268,454036.480328865,4510486.03956832
"69","MD","M",">=2",2004,2004,904,"Harvest","NEG",15423,455384.765441187,4527217.84060998
"70","MD","M",">=2",2004,2004,1110,"Harvest","NEG",15423,455183.088499017,4528995.80016904
"71","MD","M","1",2004,2004,1019,"Harvest","NEG",15417,456242.950408742,4510498.32729617
"72","MD","M",">=2",2004,2004,1019,"Harvest","NEG",15417,455708.851624675,4510338.20549858
"73","MD","M",">=2",2004,2004,1018,"Harvest","NEG",15423,456764.303787865,4526834.93982168
"74","MD","M","1",2004,2004,1109,"Harvest","NEG",15423,456942.411704265,4528836.26314826
"75","MD","M",">=2",2004,2004,1109,"Harvest","NEG",15423,456791.042276748,4529025.65171994
"76","MD","F",">=2",2004,2004,831,"Harvest","NEG",15421,456960.184075959,4521920.45634177
"77","MD","M",">=2",2004,2004,1027,"Harvest","NEG",15420,456740.288855121,4518965.22271805
"78","MD","M",">=2",2004,2004,1101,"Harvest","POS",15426,457518.559795916,4535275.37206039
"79","MD","M",">=2",2004,2004,1031,"Harvest","NEG",15416,457270.220442601,4505861.86355315
"80","MD","M","1",2004,2004,1102,"Harvest","NEG",15573,458823.977697529,4530133.26397999
"81","MD","F",">=2",2004,2004,1022,"Harvest","NEG",15573,458520.851995684,4530663.78898001
"82","MD","M",">=2",2004,2004,1023,"Harvest","NEG",15572,458881.703047536,4527292.46703003
"83","MD","F",">=2",2004,2004,1103,"Harvest","NEG",15569,459037.17681621,4518832.28829148
"84","MD","F","1",2004,2004,1110,"Harvest","NEG",15575,459103.506676555,4534659.81226216
"85","MD","M","1",2004,2004,1110,"Harvest","NEG",15575,458675.632151663,4535301.63211456
"86","MD","F",">=2",2004,2004,1110,"Harvest","NEG",15575,458497.716494538,4535041.59210368
"87","MD","F","1",2004,2004,913,"Harvest","NEG",15566,458701.513811104,4510213.31659957
"88","MD","F",">=2",2004,2004,1020,"Harvest","NEG",15566,458690.942742579,4510861.61851186
"89","MD","M",">=2",2004,2004,1020,"Harvest","NEG",15566,458968.858751185,4510891.37296631
"90","MD","M",">=2",2004,2004,1102,"Harvest","NEG",15566,459041.904779188,4509341.44062272
"91","MD","M","<1",2004,2004,1028,"Harvest","NEG",15565,458802.963766709,4507493.75690079
"92","MD","M","1",2004,2004,1109,"Harvest","NEG",15565,459253.398204327,4505722.41543911
"93","MD","F",">=2",2004,2004,1031,"Harvest","NEG",15572,460304.081535563,4526881.25456165
"94","MD","M",">=2",2004,2004,1101,"Harvest","POS",15571,460658.661042616,4525060.14209607
"95","MD","M",">=2",2004,2004,1104,"Harvest","NEG",15566,460347.084989458,4510341.03838183
"96","MD","M",">=2",2004,2004,1105,"Harvest","NEG",15566,460833.877221555,4510680.59476461
"97","MD","F",">=2",2004,2004,1129,"Harvest","NEG",15565,460899.317210138,4507086.62336762
"98","MD","M",">=2",2004,2004,1016,"Harvest","NEG",15565,460495.580416888,4507217.60813962
"99","MD","M","1",2004,2004,913,"Harvest","NEG",15722,461957.928479232,4531788.88199147
"100","MD","M",">=2",2004,2004,1115,"Harvest","NEG",15721,462204.011148043,4528400.73849862
"101","MD","M",">=2",2004,2004,1112,"Harvest","NEG",15720,461920.424397402,4523424.29937631
"102","MD","M",">=2",2004,2004,1112,"Harvest","NEG",15720,461657.687056363,4523312.94212718
"103","MD","M",">=2",2004,2004,1108,"Harvest","NEG",15717,462118.642412342,4515167.08425131
"104","MD","F",">=2",2004,2004,1206,"Harvest","NEG",15721,463013.420017958,4526515.60122254
"105","MD","M","1",2004,2004,1030,"Harvest","NEG",15720,463553.385110162,4525380.57982642
"106","MD","F",">=2",2004,2004,1104,"Harvest","NEG",15720,463221.134719215,4525153.05928197
"107","MD","M","1",2004,2004,1018,"Harvest","NEG",15719,463342.170377314,4521927.00419398
"108","MD","M","1",2004,2004,913,"Harvest","NEG",15721,463362.138095945,4526647.57706305
"109","MD","F",">=2",2004,2005,118,"Harvest","NEG",15714,464175.023694962,4507194.99638565
"110","MD","M",">=2",2004,2004,916,"Harvest","NEG",15869,465231.082061216,4525479.85500523
"111","MD","F","1",2004,2004,1202,"Harvest","NEG",15870,464891.395890668,4528466.7580137
"112","MD","F",">=2",2004,2004,1002,"Harvest","NEG",15870,464884.328690499,4528649.74045511
"113","MD","M",">=2",2004,2004,1109,"Harvest","NEG",15870,465584.45386821,4527108.48768897
"114","MD","M",">=2",2004,2004,1020,"Harvest","NEG",15867,464868.870121382,4518726.78810284
"115","MD","M",">=2",2004,2004,1101,"Harvest","POS",15867,464909.247388273,4518848.63350224
"116","MD","F",">=2",2004,2004,1012,"Harvest","NEG",15873,465256.624548234,4538065.26161677
"117","MD","F",">=2",2004,2004,1206,"Harvest","NEG",15869,466100.001540355,4525263.0764567
"118","MD","F",">=2",2004,2004,1206,"Harvest","NEG",15869,466258.728496864,4525274.44941985
"119","MD","M",">=2",2004,2004,1103,"Harvest","NEG",15873,467026.264735505,4535172.01435984
"120","MD","F",">=2",2004,2005,124,"Harvest","NEG",15856,467030.711706802,4484304.20716077
"121","MD","F",">=2",2004,2005,103,"Harvest","NEG",15857,466864.453435063,4487639.88416769
"122","MD","F",">=2",2004,2004,1023,"Harvest","NEG",15869,467063.551387265,4525577.46851947
"123","MD","F",">=2",2004,2004,1106,"Harvest","NEG",15869,466494.64947924,4525596.86695095
"124","MD","F",">=2",2004,2004,1110,"Harvest","POS",15869,466930.272550769,4525226.26061421
"125","MD","M","1",2004,2004,1101,"Harvest","NEG",15865,466710.07442797,4512170.7206606
"126","MD","M",">=2",2004,2004,1019,"Harvest","NEG",15873,467099.23727832,4535093.69427419
"127","MD","M",">=2",2004,2004,1101,"Harvest","NEG",15865,466923.211918212,4512231.19772643
"128","MD","M",">=2",2004,2004,1107,"Harvest","NEG",15862,466630.772984415,4504548.21425711
"129","MD","F",">=2",2004,2004,1106,"Harvest","NEG",15866,466966.52450835,4515224.10417185
"130","MD","F",">=2",2004,2004,1213,"Harvest","NEG",16013,467239.210911483,4510450.46563154
"131","MD","M","<1",2004,2004,1021,"Harvest","NEG",16014,466673.813618198,4511924.20030368
"132","MD","F",">=2",2004,2004,1206,"Harvest","NEG",16012,467085.316128768,4507618.26396406
"133","MD","F",">=2",2004,2004,1206,"Harvest","NEG",16012,466761.617062353,4507252.44371694
"134","MD","M",">=2",2004,2004,1019,"Harvest","NEG",16012,466877.668792307,4507118.22158497
"135","MD","M",">=2",2004,2004,1118,"Harvest","NEG",16012,466831.735317893,4507170.84490459
"136","MD","F",">=2",2004,2004,1106,"Harvest","NEG",16012,466905.834027335,4505817.89636852
"137","MD","M",">=2",2004,2004,1111,"Harvest","POS",16012,467358.048726946,4505446.48706818
"138","MD","F","1",2004,2004,1031,"Harvest","NEG",16012,468281.726488441,4506781.13409749
"139","MD","F","<1",2004,2004,1017,"Harvest","NEG",16019,468091.759479821,4526438.06999628
"140","MD","M","<1",2004,2004,1017,"Harvest","NEG",16019,468375.698513195,4526801.3076425
"141","MD","M",">=2",2004,2004,1109,"Harvest","NEG",16022,468609.425424293,4535488.3210761
"142","MD","M",">=2",2004,2004,1110,"Harvest","NEG",16019,468757.432061069,4528547.03371842
"143","MD","M",">=2",2004,2004,1110,"Harvest","POS",16019,468543.942748576,4528765.0830783
"144","MD","M",">=2",2004,2004,1111,"Harvest","NEG",16019,468586.472923271,4527074.34204564
"145","MD","M","1",2004,2004,1023,"Harvest","NEG",16018,468640.979012042,4523364.48786451
"146","MD","M",">=2",2004,2004,1020,"Harvest","NEG",16017,468603.945223823,4520683.19581266
"147","MD","M",">=2",2004,2004,1108,"Harvest","NEG",16007,468514.120176643,4493057.47481403
"148","MD","M",">=2",2004,2004,1108,"Harvest","NEG",16007,468251.411963649,4492919.87060481
"149","MD","F","1",2004,2004,1106,"Harvest","NEG",16008,468466.371862747,4494382.37653123
"150","MD","F",">=2",2004,2004,1025,"Harvest","NEG",16014,468238.021580987,4513381.79141472
"151","MD","F",">=2",2004,2004,1108,"Harvest","NEG",16014,468788.637384325,4514032.29181844
"152","MD","F",">=2",2004,2004,1124,"Harvest","NEG",16013,468408.343100794,4510368.78642785
"153","MD","F",">=2",2004,2004,1124,"Harvest","NEG",16013,468870.865550511,4510351.19674383
"154","MD","M",">=2",2004,2004,1101,"Harvest","NEG",16013,469031.231322572,4510735.56688941
"155","MD","M",">=2",2004,2004,1203,"Harvest","NEG",16013,468738.403078973,4510360.87491187
"156","MD","M","<1",2004,2004,1109,"Harvest","NEG",16013,468817.781887554,4508722.50441292
"157","MD","M",">=2",2004,2004,1109,"Harvest","NEG",16013,468995.239824779,4508620.25877123
"158","MD","M",">=2",2004,2004,1109,"Harvest","NEG",16013,468688.010335691,4508837.61648999
"159","MD","M",">=2",2004,2004,1109,"Harvest","POS",16013,468844.434178784,4508704.28822523
"160","MD","F","1",2004,2004,1022,"Harvest","NEG",16012,468766.205783524,4507045.95627197
"161","MD","M",">=2",2004,2004,1109,"Harvest","POS",16012,468631.627911292,4507255.09491832
"162","MD","M",">=2",2004,2004,1108,"Harvest","NEG",16012,468476.942106903,4505794.53227589
"163","MD","M",">=2",2004,2004,1108,"Harvest","NEG",16012,468765.136306554,4506038.64964744
"164","MD","M",">=2",2004,2004,1106,"Harvest","NEG",16012,468569.505605482,4505533.89109702
"165","MD","M",">=2",2004,2004,1108,"Harvest","NEG",16001,469822.572464682,4472254.27383291
"166","MD","F",">=2",2004,2004,1206,"Harvest","NEG",16162,469824.349170431,4510365.44181228
"167","MD","M",">=2",2004,2004,1107,"Harvest","NEG",16171,470337.955217525,4534777.40848021
"168","MD","F",">=2",2004,2004,1010,"Harvest","NEG",16172,469911.516780153,4537952.65568229
"169","MD","F",">=2",2004,2004,1010,"Harvest","NEG",16172,469651.064096138,4537651.84423695
"170","MD","F",">=2",2004,2004,1006,"Harvest","NEG",16153,470062.502303362,4483368.07924879
"171","MD","F",">=2",2004,2004,1112,"Harvest","NEG",16155,470312.049298771,4489297.51934613
"172","MD","M",">=2",2004,2004,1022,"Harvest","NEG",16166,469952.977614753,4520442.58330632
"173","MD","M",">=2",2004,2004,1018,"Harvest","NEG",16165,470519.696571484,4518424.94362056
"174","MD","M",">=2",2004,2004,1101,"Harvest","POS",16165,470484.741497405,4518723.59245386
"175","MD","M","1",2004,2004,1023,"Harvest","NEG",16158,469986.313413009,4497763.84547373
"176","MD","F",">=2",2004,2004,1023,"Harvest","NEG",16158,469950.004632324,4498035.59145948
"177","MD","F",">=2",2004,2004,1107,"Harvest","NEG",16160,470608.6733623,4503921.99566879
"178","MD","F",">=2",2004,2004,1019,"Harvest","NEG",16163,470449.444391198,4512289.62379147
"179","MD","F",">=2",2004,2004,1023,"Harvest","NEG",16163,470471.746160083,4512341.4647504
"180","MD","M",">=2",2004,2004,1110,"Harvest","NEG",16161,470446.23386436,4505994.24658227
"181","MD","F",">=2",2004,2005,126,"Harvest","NEG",16162,469956.713038415,4510514.73335166
"182","MD","M","<1",2004,2004,1017,"Harvest","NEG",16161,470023.269150764,4507479.99118453
"183","MD","M",">=2",2004,2004,1108,"Harvest","NEG",16165,471356.118993096,4518682.73837095
"184","MD","F",">=2",2004,2004,1122,"Harvest","NEG",16149,471259.377912804,4470131.06272148
"185","MD","M",">=2",2004,2004,1111,"Harvest","NEG",16168,471736.317189619,4526736.742557
"186","MD","M",">=2",2004,2004,1102,"Harvest","NEG",16154,472089.273282096,4486318.12901577
"187","MD","M",">=2",2004,2004,1106,"Harvest","NEG",16166,471474.694314554,4520133.99291188
"188","MD","M",">=2",2004,2004,1107,"Harvest","NEG",16166,471827.222916253,4520128.78527046
"189","MD","M",">=2",2004,2004,1023,"Harvest","POS",16165,471970.5032221,4517342.53097226
"190","MD","M","1",2004,2004,1018,"Harvest","NEG",16158,471978.671958901,4496366.6687904
"191","MD","F",">=2",2004,2004,1101,"Harvest","NEG",16161,471671.759757809,4505783.02490868
"192","MD","F",">=2",2004,2004,1018,"Harvest","NEG",16302,473428.279426172,4482826.30804922
"193","MD","M",">=2",2004,2004,1109,"Harvest","NEG",16320,473482.3457032,4536408.73411456
"194","MD","F",">=2",2004,2005,111,"Harvest","NEG",16305,473084.637818091,4490973.2914885
"195","MD","F",">=2",2004,2005,124,"Harvest","NEG",16304,473210.000184365,4489759.90347335
"196","MD","M",">=2",2004,2004,1018,"Harvest","NEG",16304,473322.521167994,4489785.54996805
"197","MD","M",">=2",2004,2004,1018,"Harvest","NEG",16304,473390.856546909,4489726.51374073
"198","MD","F",">=2",2004,2004,902,"Harvest","NEG",16317,473543.496818811,4528831.12964302
"199","MD","F",">=2",2004,2004,1108,"Harvest","NEG",16303,472977.90391621,4486736.80789538
"200","MD","M",">=2",2004,2004,914,"Harvest","NEG",16315,473387.510519207,4521919.41476241
"201","MD","M","1",2004,2004,901,"Harvest","NEG",16315,473457.511811458,4520613.34365515
"202","MD","M","1",2004,2004,1110,"Harvest","NEG",16315,473549.39767731,4520033.91129972
"203","MD","M",">=2",2004,2004,1018,"Harvest","NEG",16314,473526.767319813,4519039.61465731
"204","MD","M",">=2",2004,2004,1107,"Harvest","NEG",16307,473908.734798789,4496500.1098617
"205","MD","M",">=2",2004,2004,1109,"Harvest","NEG",16307,473317.342889667,4495949.10979988
"206","MD","F",">=2",2004,2004,1106,"Harvest","NEG",16307,473275.379028782,4497849.32093207
"207","MD","F",">=2",2004,2004,1206,"Harvest","NEG",16311,473602.034158312,4509512.23715341
"208","MD","F",">=2",2004,2004,1111,"Harvest","NEG",16310,473680.041454941,4506149.20377564
"209","MD","M","1",2004,2004,1026,"Harvest","NEG",16310,473722.921175852,4507119.93033565
"210","MD","F",">=2",2004,2004,1019,"Harvest","NEG",16310,473621.330315031,4507126.58529892
"211","MD","M",">=2",2004,2004,1018,"Harvest","NEG",16303,474787.738942549,4486538.92802399
"212","MD","M",">=2",2004,2004,1124,"Harvest","NEG",16318,474922.236585878,4531632.71142621
"213","MD","F",">=2",2004,2004,1130,"Harvest","NEG",16316,474810.085072517,4525003.5741168
"214","MD","M",">=2",2004,2004,1026,"Harvest","NEG",16314,475013.277355045,4516813.69510626
"215","MD","M",">=2",2004,2004,1107,"Harvest","NEG",16314,475068.457680032,4517403.07398008
"216","MD","F",">=2",2004,2004,1017,"Harvest","NEG",16308,475462.932754084,4499746.29134251
"217","MD","M",">=2",2004,2004,917,"Harvest","NEG",16311,475207.695454083,4511066.75082182
"218","MD","M",">=2",2004,2004,1112,"Harvest","NEG",16294,474921.526779786,4457688.60531588
"219","MD","M",">=2",2004,2004,1108,"Harvest","NEG",16294,475579.866422519,4458101.11536597
"220","MD","M",">=2",2004,2004,927,"Harvest","NEG",16296,475341.632428378,4464212.1817138
"221","MD","F",">=2",2004,2005,128,"Harvest","NEG",16295,475570.530604124,4460939.9510055
"222","MD","F",">=2",2004,2005,112,"Harvest","NEG",16446,476650.717637651,4466942.04509035
"223","MD","F",">=2",2004,2005,110,"Harvest","NEG",16447,476294.233198404,4470307.96362989
"224","MD","M",">=2",2004,2004,1110,"Harvest","NEG",16449,476369.747452438,4474863.397214
"225","MD","M",">=2",2004,2004,1108,"Harvest","NEG",16469,476360.702261031,4535391.97081336
"226","MD","F",">=2",2004,2005,103,"Harvest","NEG",16466,476322.24129837,4528440.82007715
"227","MD","F",">=2",2004,2005,103,"Harvest","NEG",16466,476937.907869257,4528673.49995477
"228","MD","M",">=2",2004,2005,111,"Harvest","NEG",16466,476326.13891203,4528604.16713161
"229","MD","F",">=2",2004,2005,103,"Harvest","POS",16466,476820.842630304,4528342.79170008
"230","MD","M",">=2",2004,2004,1109,"Harvest","NEG",16459,476424.736487813,4507721.25864007
"231","MD","F","1",2004,2004,1104,"Harvest","NEG",16460,476453.446729906,4510609.43830571
"232","MD","F",">=2",2004,2004,1017,"Harvest","NEG",16449,476886.703067787,4475003.45568432
"233","MD","F",">=2",2004,2004,1202,"Harvest","POS",16447,477829.087868989,4470504.04893892
"234","MD","M",">=2",2004,2004,1017,"Harvest","NEG",16449,477995.366469763,4476847.59276073
"235","MD","M",">=2",2004,2004,1107,"Harvest","NEG",16451,478264.213429257,4481320.39727113
"236","MD","M",">=2",2004,2004,1110,"Harvest","NEG",16451,478086.730830245,4482926.19039625
"237","MD","M",">=2",2004,2004,1115,"Harvest","NEG",16455,478278.303277403,4494336.97737435
"238","MD","M","<1",2004,2004,1031,"Harvest","NEG",16460,478553.051959775,4510524.13533729
"239","MD","M",">=2",2004,2004,1109,"Harvest","NEG",16461,478267.452354394,4514105.41697703
"240","MD","F","<1",2004,2004,1129,"Harvest","NEG",16461,478733.88367825,4512457.89070991
"241","MD","F",">=2",2004,2004,1215,"Harvest","NEG",16461,478211.578784406,4511995.82558298
"242","MD","M",">=2",2004,2004,913,"Harvest","NEG",16445,478645.454236776,4464198.88777713
"243","MD","M",">=2",2004,2004,913,"Harvest","NEG",16445,478622.37185771,4464269.56830192
"244","MD","M",">=2",2004,2004,913,"Harvest","NEG",16445,478121.901617482,4464390.80977495
"245","MD","M",">=2",2004,2004,1110,"Harvest","NEG",16444,478637.717738673,4461213.16522805
"246","MD","F",">=2",2004,2005,201,"Harvest","NEG",16443,478771.546904586,4456898.77860453
"247","MD","F",">=2",2004,2005,201,"Harvest","NEG",16443,478708.535056591,4457486.17196623
"248","MD","F",">=2",2004,2005,201,"Harvest","NEG",16443,478766.760915175,4457533.53676964
"249","MD","F",">=2",2004,2004,1108,"Harvest","NEG",16454,478792.696851872,4492349.65304898
"250","MD","M",">=2",2004,2004,1110,"Harvest","NEG",16595,479482.654208288,4468790.28381431
"251","MD","F",">=2",2004,2004,1008,"Harvest","POS",16596,479820.317439452,4470529.62912225
"252","MD","M","1",2004,2004,1108,"Harvest","NEG",16599,479981.117915303,4478784.57703154
"253","MD","M",">=2",2004,2004,1111,"Harvest","NEG",16599,480070.642498076,4478703.02759736
"254","MD","M",">=2",2004,2004,1118,"Harvest","NEG",16599,479654.610164963,4478218.54090161
"255","MD","F",">=2",2004,2005,110,"Harvest","NEG",16615,479874.695226066,4528250.54353452
"256","MD","F",">=2",2004,2005,110,"Harvest","NEG",16615,479652.270026207,4528562.85805809
"257","MD","M",">=2",2004,2004,1109,"Harvest","NEG",16615,479918.141169921,4528888.34007676
"258","MD","F",">=2",2004,2004,1023,"Harvest","NEG",16600,479442.164831564,4482049.69081552
"259","MD","F",">=2",2004,2004,1020,"Harvest","NEG",16618,479952.478446931,4535424.53735058
"260","MD","M","<1",2004,2005,110,"Harvest","NEG",16618,480101.351980954,4536828.04279133
"261","MD","F",">=2",2004,2005,110,"Harvest","NEG",16618,480069.960863419,4537057.16122008
"262","MD","M",">=2",2004,2004,1106,"Harvest","NEG",16614,479806.262297004,4525013.85008796
"263","MD","M","1",2004,2004,1110,"Harvest","NEG",16606,479755.411600262,4499585.14408644
"264","MD","F",">=2",2004,2004,1101,"Harvest","NEG",16606,479717.618427925,4499483.10795489
"265","MD","F","1",2004,2004,1206,"Harvest","NEG",16605,480007.134546854,4497807.09614651
"266","MD","M",">=2",2004,2004,1016,"Harvest","NEG",16606,480302.985568851,4500697.27900933
"267","MD","M",">=2",2004,2004,1016,"Harvest","NEG",16606,480101.379644446,4500945.78370239
"268","MD","M",">=2",2004,2004,1018,"Harvest","NEG",16607,479648.646060564,4503033.25095337
"269","MD","M",">=2",2004,2004,1108,"Harvest","NEG",16612,479857.552592129,4518670.63225076
"270","MD","M",">=2",2004,2004,1025,"Harvest","NEG",16593,480528.616039298,4460585.35530218
"271","MD","F",">=2",2004,2005,124,"Harvest","POS",16592,480476.892215468,4459109.25414053
"272","MD","M","1",2004,2004,1021,"Harvest","NEG",16601,480400.330898032,4484504.66340575
"273","MD","F",">=2",2004,2005,131,"Harvest","NEG",16595,480868.671942912,4468931.38829821
"274","MD","M",">=2",2004,2004,1024,"Harvest","NEG",16599,481472.076452538,4478392.50611878
"275","MD","M",">=2",2004,2004,1026,"Harvest","NEG",16599,481598.721702598,4478257.21060178
"276","MD","M",">=2",2004,2004,1018,"Harvest","NEG",16599,481525.93986617,4478428.98052997
"277","MD","M","1",2004,2004,1020,"Harvest","NEG",16599,481491.194259129,4480010.64613893
"278","MD","M",">=2",2004,2004,1020,"Harvest","NEG",16599,481280.594568454,4480404.6856385
"279","MD","M",">=2",2004,2004,1106,"Harvest","NEG",16599,481229.783724934,4479888.67346442
"280","MD","F","<1",2004,2004,1227,"Harvest","POS",16599,481601.774326093,4479792.12016839
"281","MD","M",">=2",2004,2004,1019,"Harvest","POS",16615,481108.540769629,4528958.30963469
"282","MD","F",">=2",2004,2005,124,"Harvest","NEG",16600,481517.985109061,4481382.61910979
"283","MD","M",">=2",2004,2004,1022,"Harvest","NEG",16600,481266.475473352,4481892.22412765
"284","MD","M",">=2",2004,2004,1022,"Harvest","POS",16600,481775.663111739,4481739.44112085
"285","MD","F","<1",2004,2005,131,"Harvest","NEG",16616,481275.67313239,4530042.98709933
"286","MD","F",">=2",2004,2005,131,"Harvest","NEG",16616,481109.477691911,4530606.08854969
