SPP,SEX,AGE,BIOYR,CALYR,MMDD,x,y,SAMPLE_MET,ANYPOSNO,Id
MD,M,>=2,2004,2004,1105,436538.000000,4526972.000000,Harvest,NEG,14380
MD,M,>=2,2004,2004,1023,436690.000000,4531793.000000,Harvest,NEG,14381
MD,M,1,2004,2004,0918,440470.000000,4526869.000000,Harvest,NEG,14678
MD,M,1,2004,2004,0916,442696.000000,4530485.000000,Harvest,NEG,14679
MD,M,>=2,2004,2004,1020,443155.000000,4536478.000000,Harvest,NEG,14830
MD,F,>=2,2004,2004,1022,446281.000000,4536403.000000,Harvest,NEG,14979
MD,F,>=2,2004,2004,0920,447633.000000,4526825.000000,Harvest,NEG,14976
MD,M,>=2,2004,2004,1018,447672.000000,4528440.000000,Harvest,NEG,14976
MD,M,>=2,2004,2004,1018,447672.000000,4528440.000000,Harvest,NEG,14976
MD,M,>=2,2004,2004,1112,447696.000000,4525073.000000,Harvest,NEG,14975
MD,M,>=2,2004,2004,0913,447724.000000,4531659.000000,Harvest,NEG,14977
MD,M,>=2,2004,2004,1018,447753.000000,4512005.000000,Harvest,NEG,14971
MD,M,>=2,2004,2004,1109,447764.000000,4513605.000000,Harvest,NEG,14971
MD,F,>=2,2004,2004,0907,448679.000000,4521740.000000,Harvest,NEG,14974
MD,F,>=2,2004,2004,1106,449157.000000,4530122.000000,Harvest,NEG,15126
MD,F,>=2,2004,2004,1106,449157.000000,4530122.000000,Harvest,NEG,15126
MD,M,1,2004,2004,1020,449319.000000,4518337.000000,Harvest,POS,15122
MD,M,>=2,2004,2004,1107,449348.000000,4519925.000000,Harvest,NEG,15122
MD,M,1,2004,2004,1018,449524.000000,4513553.000000,Harvest,NEG,15120
MD,M,1,2004,2004,1019,449555.000000,4511980.000000,Harvest,NEG,15120
MD,M,1,2004,2004,1110,450736.000000,4530049.000000,Harvest,NEG,15126
MD,F,<1,2004,2004,1210,450736.000000,4530049.000000,Harvest,NEG,15126
MD,M,1,2004,2004,1018,451293.000000,4505667.000000,Harvest,NEG,15118
MD,M,>=2,2004,2004,1027,452261.000000,4526875.000000,Harvest,NEG,15274
MD,F,<1,2004,2004,1108,452294.000000,4528438.000000,Harvest,NEG,15274
MD,M,1,2004,2004,0913,452380.000000,4531635.000000,Harvest,NEG,15275
MD,F,>=2,2004,2004,1106,452380.000000,4531635.000000,Harvest,NEG,15275
MD,F,>=2,2004,2004,1102,452695.000000,4508725.000000,Harvest,NEG,15268
MD,M,>=2,2004,2004,1020,452695.000000,4508725.000000,Harvest,NEG,15268
MD,M,>=2,2004,2004,1020,452695.000000,4508725.000000,Harvest,NEG,15268
MD,M,>=2,2004,2004,1025,452752.000000,4507175.000000,Harvest,NEG,15267
MD,F,>=2,2004,2004,0918,453888.000000,4528515.000000,Harvest,NEG,15274
MD,M,>=2,2004,2004,1022,453942.000000,4519832.000000,Harvest,NEG,15271
MD,M,1,2004,2004,0911,453992.000000,4521368.000000,Harvest,NEG,15272
MD,M,>=2,2004,2004,1021,454080.000000,4515105.000000,Harvest,NEG,15270
MD,M,>=2,2004,2004,1019,454094.000000,4516667.000000,Harvest,NEG,15270
MD,M,>=2,2004,2004,1019,454094.000000,4516667.000000,Harvest,NEG,15270
MD,M,>=2,2004,2004,1101,454094.000000,4516667.000000,Harvest,POS,15270
MD,M,>=2,2004,2004,1021,454184.000000,4536475.000000,Harvest,NEG,15277
MD,M,>=2,2004,2004,1023,454184.000000,4536475.000000,Harvest,NEG,15277
MD,F,>=2,2004,2004,0913,454269.000000,4510351.000000,Harvest,NEG,15268
MD,M,>=2,2004,2004,0904,455443.000000,4527021.000000,Harvest,NEG,15423
MD,M,>=2,2004,2004,1110,455487.000000,4528635.000000,Harvest,NEG,15423
MD,M,1,2004,2004,1019,455876.000000,4510364.000000,Harvest,NEG,15417
MD,M,>=2,2004,2004,1019,455876.000000,4510364.000000,Harvest,NEG,15417
MD,M,>=2,2004,2004,1018,457003.000000,4527086.000000,Harvest,NEG,15423
MD,M,1,2004,2004,1109,457004.000000,4528748.000000,Harvest,NEG,15423
MD,M,>=2,2004,2004,1109,457004.000000,4528748.000000,Harvest,NEG,15423
MD,F,>=2,2004,2004,0831,457029.000000,4522105.000000,Harvest,NEG,15421
MD,M,>=2,2004,2004,1027,457116.000000,4518677.000000,Harvest,NEG,15420
MD,M,>=2,2004,2004,1101,457255.000000,4535125.000000,Harvest,POS,15426
MD,M,>=2,2004,2004,1031,457430.000000,4505725.000000,Harvest,NEG,15416
MD,M,1,2004,2004,1102,458570.000000,4530423.000000,Harvest,NEG,15573
MD,F,>=2,2004,2004,1022,458570.000000,4530423.000000,Harvest,NEG,15573
MD,M,>=2,2004,2004,1023,458587.000000,4527070.000000,Harvest,NEG,15572
MD,F,>=2,2004,2004,1103,458652.000000,4518741.000000,Harvest,NEG,15569
MD,F,1,2004,2004,1110,458895.000000,4535036.000000,Harvest,NEG,15575
MD,M,1,2004,2004,1110,458895.000000,4535036.000000,Harvest,NEG,15575
MD,F,>=2,2004,2004,1110,458895.000000,4535036.000000,Harvest,NEG,15575
MD,F,1,2004,2004,0913,458979.000000,4510513.000000,Harvest,NEG,15566
MD,F,>=2,2004,2004,1020,458979.000000,4510513.000000,Harvest,NEG,15566
MD,M,>=2,2004,2004,1020,458979.000000,4510513.000000,Harvest,NEG,15566
MD,M,>=2,2004,2004,1102,458985.000000,4508943.000000,Harvest,NEG,15566
MD,M,<1,2004,2004,1028,459003.000000,4507386.000000,Harvest,NEG,15565
MD,M,1,2004,2004,1109,459013.000000,4505745.000000,Harvest,NEG,15565
MD,F,>=2,2004,2004,1031,460235.000000,4527043.000000,Harvest,NEG,15572
MD,M,>=2,2004,2004,1101,460279.000000,4525364.000000,Harvest,POS,15571
MD,M,>=2,2004,2004,1104,460561.000000,4510490.000000,Harvest,NEG,15566
MD,M,>=2,2004,2004,1105,460561.000000,4510490.000000,Harvest,NEG,15566
MD,F,>=2,2004,2004,1129,460582.000000,4507348.000000,Harvest,NEG,15565
MD,M,>=2,2004,2004,1016,460582.000000,4507348.000000,Harvest,NEG,15565
MD,M,1,2004,2004,0913,461848.000000,4531910.000000,Harvest,NEG,15722
MD,M,>=2,2004,2004,1115,461884.000000,4528669.000000,Harvest,NEG,15721
MD,M,>=2,2004,2004,1112,461930.000000,4523710.000000,Harvest,NEG,15720
MD,M,>=2,2004,2004,1112,461930.000000,4523710.000000,Harvest,NEG,15720
MD,M,>=2,2004,2004,1108,462068.000000,4515382.000000,Harvest,NEG,15717
MD,F,>=2,2004,2004,1206,463215.000000,4526673.000000,Harvest,NEG,15721
MD,M,1,2004,2004,1030,463565.000000,4525325.000000,Harvest,NEG,15720
MD,F,>=2,2004,2004,1104,463565.000000,4525325.000000,Harvest,NEG,15720
MD,M,1,2004,2004,1018,463569.000000,4522046.000000,Harvest,NEG,15719
MD,M,1,2004,2004,0913,463595.000000,4526961.000000,Harvest,NEG,15721
MD,F,>=2,2004,2005,0118,463878.000000,4507350.000000,Harvest,NEG,15714
MD,M,>=2,2004,2004,0916,465196.000000,4525332.000000,Harvest,NEG,15869
MD,F,1,2004,2004,1202,465198.000000,4528583.000000,Harvest,NEG,15870
MD,F,>=2,2004,2004,1002,465198.000000,4528583.000000,Harvest,NEG,15870
MD,M,>=2,2004,2004,1109,465204.000000,4526935.000000,Harvest,NEG,15870
MD,M,>=2,2004,2004,1020,465248.000000,4518750.000000,Harvest,NEG,15867
MD,M,>=2,2004,2004,1101,465248.000000,4518750.000000,Harvest,POS,15867
MD,F,>=2,2004,2004,1012,465321.000000,4537876.000000,Harvest,NEG,15873
MD,F,>=2,2004,2004,1206,466106.000000,4525286.000000,Harvest,NEG,15869
MD,F,>=2,2004,2004,1206,466106.000000,4525286.000000,Harvest,NEG,15869
MD,M,>=2,2004,2004,1103,466742.000000,4535162.000000,Harvest,NEG,15873
MD,F,>=2,2004,2005,0124,466770.000000,4484645.000000,Harvest,NEG,15856
MD,F,>=2,2004,2005,0103,466772.000000,4487882.000000,Harvest,NEG,15857
MD,F,>=2,2004,2004,1023,466820.000000,4525325.000000,Harvest,NEG,15869
MD,F,>=2,2004,2004,1106,466820.000000,4525325.000000,Harvest,NEG,15869
MD,F,>=2,2004,2004,1110,466820.000000,4525325.000000,Harvest,POS,15869
MD,M,1,2004,2004,1101,466836.000000,4511813.000000,Harvest,NEG,15865
MD,M,>=2,2004,2004,1019,466918.000000,4535286.000000,Harvest,NEG,15873
MD,M,>=2,2004,2004,1101,466925.000000,4511845.000000,Harvest,NEG,15865
MD,M,>=2,2004,2004,1107,466959.000000,4504199.000000,Harvest,NEG,15862
MD,F,>=2,2004,2004,1106,466964.000000,4515402.000000,Harvest,NEG,15866
MD,F,>=2,2004,2004,1213,467009.000000,4510544.000000,Harvest,NEG,16013
MD,M,<1,2004,2004,1021,467010.000000,4512134.000000,Harvest,NEG,16014
MD,F,>=2,2004,2004,1206,467080.000000,4507320.000000,Harvest,NEG,16012
MD,F,>=2,2004,2004,1206,467080.000000,4507320.000000,Harvest,NEG,16012
MD,M,>=2,2004,2004,1019,467080.000000,4507320.000000,Harvest,NEG,16012
MD,M,>=2,2004,2004,1118,467080.000000,4507320.000000,Harvest,NEG,16012
MD,F,>=2,2004,2004,1106,467098.000000,4505724.000000,Harvest,NEG,16012
MD,M,>=2,2004,2004,1111,467098.000000,4505724.000000,Harvest,POS,16012
MD,F,1,2004,2004,1031,468032.000000,4506793.000000,Harvest,NEG,16012
MD,F,<1,2004,2004,1017,468168.000000,4526635.000000,Harvest,NEG,16019
MD,M,<1,2004,2004,1017,468168.000000,4526635.000000,Harvest,NEG,16019
MD,M,>=2,2004,2004,1109,468403.000000,4535156.000000,Harvest,NEG,16022
MD,M,>=2,2004,2004,1110,468417.000000,4528542.000000,Harvest,NEG,16019
MD,M,>=2,2004,2004,1110,468417.000000,4528542.000000,Harvest,POS,16019
MD,M,>=2,2004,2004,1111,468440.000000,4526962.000000,Harvest,NEG,16019
MD,M,1,2004,2004,1023,468489.000000,4523661.000000,Harvest,NEG,16018
MD,M,>=2,2004,2004,1020,468501.000000,4520418.000000,Harvest,NEG,16017
MD,M,>=2,2004,2004,1108,468551.000000,4492877.000000,Harvest,NEG,16007
MD,M,>=2,2004,2004,1108,468551.000000,4492877.000000,Harvest,NEG,16007
MD,F,1,2004,2004,1106,468557.000000,4494529.000000,Harvest,NEG,16008
MD,F,>=2,2004,2004,1025,468630.000000,4513743.000000,Harvest,NEG,16014
MD,F,>=2,2004,2004,1108,468630.000000,4513743.000000,Harvest,NEG,16014
MD,F,>=2,2004,2004,1124,468686.000000,4510546.000000,Harvest,NEG,16013
MD,F,>=2,2004,2004,1124,468686.000000,4510546.000000,Harvest,NEG,16013
MD,M,>=2,2004,2004,1101,468686.000000,4510546.000000,Harvest,NEG,16013
MD,M,>=2,2004,2004,1203,468686.000000,4510546.000000,Harvest,NEG,16013
MD,M,<1,2004,2004,1109,468699.000000,4508949.000000,Harvest,NEG,16013
MD,M,>=2,2004,2004,1109,468699.000000,4508949.000000,Harvest,NEG,16013
MD,M,>=2,2004,2004,1109,468699.000000,4508949.000000,Harvest,NEG,16013
MD,M,>=2,2004,2004,1109,468699.000000,4508949.000000,Harvest,POS,16013
MD,F,1,2004,2004,1022,468715.000000,4507337.000000,Harvest,NEG,16012
MD,M,>=2,2004,2004,1109,468715.000000,4507337.000000,Harvest,POS,16012
MD,M,>=2,2004,2004,1108,468717.000000,4505739.000000,Harvest,NEG,16012
MD,M,>=2,2004,2004,1108,468717.000000,4505739.000000,Harvest,NEG,16012
MD,M,>=2,2004,2004,1106,468717.000000,4505739.000000,Harvest,NEG,16012
MD,M,>=2,2004,2004,1108,469875.000000,4472081.000000,Harvest,NEG,16001
MD,F,>=2,2004,2004,1206,470028.000000,4510145.000000,Harvest,NEG,16162
MD,M,>=2,2004,2004,1107,470029.000000,4535164.000000,Harvest,NEG,16171
MD,F,>=2,2004,2004,1010,470047.000000,4538006.000000,Harvest,NEG,16172
MD,F,>=2,2004,2004,1010,470047.000000,4538006.000000,Harvest,NEG,16172
MD,F,>=2,2004,2004,1006,470059.000000,4483082.000000,Harvest,NEG,16153
MD,F,>=2,2004,2004,1112,470135.000000,4489591.000000,Harvest,NEG,16155
MD,M,>=2,2004,2004,1022,470154.000000,4520400.000000,Harvest,NEG,16166
MD,M,>=2,2004,2004,1018,470158.000000,4518760.000000,Harvest,NEG,16165
MD,M,>=2,2004,2004,1101,470158.000000,4518760.000000,Harvest,POS,16165
MD,M,1,2004,2004,1023,470205.000000,4497834.000000,Harvest,NEG,16158
MD,F,>=2,2004,2004,1023,470205.000000,4497834.000000,Harvest,NEG,16158
MD,F,>=2,2004,2004,1107,470219.000000,4504222.000000,Harvest,NEG,16160
MD,F,>=2,2004,2004,1019,470283.000000,4512172.000000,Harvest,NEG,16163
MD,F,>=2,2004,2004,1023,470283.000000,4512172.000000,Harvest,NEG,16163
MD,M,>=2,2004,2004,1110,470327.000000,4505773.000000,Harvest,NEG,16161
MD,F,>=2,2004,2005,0126,470338.000000,4510570.000000,Harvest,NEG,16162
MD,M,<1,2004,2004,1017,470341.000000,4507341.000000,Harvest,NEG,16161
MD,M,>=2,2004,2004,1108,471267.000000,4518631.000000,Harvest,NEG,16165
MD,F,>=2,2004,2004,1122,471500.000000,4470451.000000,Harvest,NEG,16149
MD,M,>=2,2004,2004,1111,471726.000000,4526957.000000,Harvest,NEG,16168
MD,M,>=2,2004,2004,1102,471748.000000,4486361.000000,Harvest,NEG,16154
MD,M,>=2,2004,2004,1106,471798.000000,4520367.000000,Harvest,NEG,16166
MD,M,>=2,2004,2004,1107,471798.000000,4520367.000000,Harvest,NEG,16166
MD,M,>=2,2004,2004,1023,471804.000000,4517064.000000,Harvest,POS,16165
MD,M,1,2004,2004,1018,471852.000000,4496267.000000,Harvest,NEG,16158
MD,F,>=2,2004,2004,1101,471935.000000,4505787.000000,Harvest,NEG,16161
MD,F,>=2,2004,2004,1018,473235.000000,4483123.000000,Harvest,NEG,16302
MD,M,>=2,2004,2004,1109,473273.000000,4536779.000000,Harvest,NEG,16320
MD,F,>=2,2004,2005,0111,473349.000000,4491206.000000,Harvest,NEG,16305
MD,F,>=2,2004,2005,0124,473350.000000,4489639.000000,Harvest,NEG,16304
MD,M,>=2,2004,2004,1018,473350.000000,4489639.000000,Harvest,NEG,16304
MD,M,>=2,2004,2004,1018,473350.000000,4489639.000000,Harvest,NEG,16304
MD,F,>=2,2004,2004,0902,473357.000000,4528595.000000,Harvest,NEG,16317
MD,F,>=2,2004,2004,1108,473362.000000,4486372.000000,Harvest,NEG,16303
MD,M,>=2,2004,2004,0914,473413.000000,4522000.000000,Harvest,NEG,16315
MD,M,1,2004,2004,0901,473439.000000,4520359.000000,Harvest,NEG,16315
MD,M,1,2004,2004,1110,473439.000000,4520359.000000,Harvest,NEG,16315
MD,M,>=2,2004,2004,1018,473450.000000,4518725.000000,Harvest,NEG,16314
MD,M,>=2,2004,2004,1107,473516.000000,4496321.000000,Harvest,NEG,16307
MD,M,>=2,2004,2004,1109,473516.000000,4496321.000000,Harvest,NEG,16307
MD,F,>=2,2004,2004,1106,473519.000000,4497940.000000,Harvest,NEG,16307
MD,F,>=2,2004,2004,1206,473519.000000,4509176.000000,Harvest,NEG,16311
MD,F,>=2,2004,2004,1111,473526.000000,4505825.000000,Harvest,NEG,16310
MD,M,1,2004,2004,1026,473532.000000,4507398.000000,Harvest,NEG,16310
MD,F,>=2,2004,2004,1019,473532.000000,4507398.000000,Harvest,NEG,16310
MD,M,>=2,2004,2004,1018,474942.000000,4486395.000000,Harvest,NEG,16303
MD,M,>=2,2004,2004,1124,474945.000000,4531860.000000,Harvest,NEG,16318
MD,F,>=2,2004,2004,1130,475065.000000,4525212.000000,Harvest,NEG,16316
MD,M,>=2,2004,2004,1026,475126.000000,4517099.000000,Harvest,NEG,16314
MD,M,>=2,2004,2004,1107,475126.000000,4517099.000000,Harvest,NEG,16314
MD,F,>=2,2004,2004,1017,475140.000000,4499556.000000,Harvest,NEG,16308
MD,M,>=2,2004,2004,0917,475146.000000,4510674.000000,Harvest,NEG,16311
MD,M,>=2,2004,2004,1112,475308.000000,4457737.000000,Harvest,NEG,16294
MD,M,>=2,2004,2004,1108,475308.000000,4457737.000000,Harvest,NEG,16294
MD,M,>=2,2004,2004,0927,475316.000000,4464250.000000,Harvest,NEG,16296
MD,F,>=2,2004,2005,0128,475330.000000,4461055.000000,Harvest,NEG,16295
MD,F,>=2,2004,2005,0112,476340.000000,4467275.000000,Harvest,NEG,16446
MD,F,>=2,2004,2005,0110,476364.000000,4470470.000000,Harvest,NEG,16447
MD,M,>=2,2004,2004,1110,476375.000000,4475175.000000,Harvest,NEG,16449
MD,M,>=2,2004,2004,1108,476545.000000,4535129.000000,Harvest,NEG,16469
MD,F,>=2,2004,2005,0103,476620.000000,4528629.000000,Harvest,NEG,16466
MD,F,>=2,2004,2005,0103,476620.000000,4528629.000000,Harvest,NEG,16466
MD,M,>=2,2004,2005,0111,476620.000000,4528629.000000,Harvest,NEG,16466
MD,F,>=2,2004,2005,0103,476620.000000,4528629.000000,Harvest,POS,16466
MD,M,>=2,2004,2004,1109,476731.000000,4507457.000000,Harvest,NEG,16459
MD,F,1,2004,2004,1104,476769.000000,4510683.000000,Harvest,NEG,16460
MD,F,>=2,2004,2004,1017,476898.000000,4475091.000000,Harvest,NEG,16449
MD,F,>=2,2004,2004,1202,478021.000000,4470461.000000,Harvest,POS,16447
MD,M,>=2,2004,2004,1017,478083.000000,4476855.000000,Harvest,NEG,16449
MD,M,>=2,2004,2004,1107,478144.000000,4481663.000000,Harvest,NEG,16451
MD,M,>=2,2004,2004,1110,478211.000000,4483235.000000,Harvest,NEG,16451
MD,M,>=2,2004,2004,1115,478296.000000,4494624.000000,Harvest,NEG,16455
MD,M,<1,2004,2004,1031,478394.000000,4510587.000000,Harvest,NEG,16460
MD,M,>=2,2004,2004,1109,478410.000000,4513833.000000,Harvest,NEG,16461
MD,F,<1,2004,2004,1129,478437.000000,4512219.000000,Harvest,NEG,16461
MD,F,>=2,2004,2004,1215,478437.000000,4512219.000000,Harvest,NEG,16461
MD,M,>=2,2004,2004,0913,478521.000000,4464383.000000,Harvest,NEG,16445
MD,M,>=2,2004,2004,0913,478521.000000,4464383.000000,Harvest,NEG,16445
MD,M,>=2,2004,2004,0913,478521.000000,4464383.000000,Harvest,NEG,16445
MD,M,>=2,2004,2004,1110,478580.000000,4460916.000000,Harvest,NEG,16444
MD,F,>=2,2004,2005,0201,478743.000000,4457175.000000,Harvest,NEG,16443
MD,F,>=2,2004,2005,0201,478743.000000,4457175.000000,Harvest,NEG,16443
MD,F,>=2,2004,2005,0201,478743.000000,4457175.000000,Harvest,NEG,16443
MD,F,>=2,2004,2004,1108,478842.000000,4492324.000000,Harvest,NEG,16454
MD,M,>=2,2004,2004,1110,479607.000000,4468869.000000,Harvest,NEG,16595
MD,F,>=2,2004,2004,1008,479629.000000,4470457.000000,Harvest,POS,16596
MD,M,1,2004,2004,1108,479714.000000,4478513.000000,Harvest,NEG,16599
MD,M,>=2,2004,2004,1111,479714.000000,4478513.000000,Harvest,NEG,16599
MD,M,>=2,2004,2004,1118,479714.000000,4478513.000000,Harvest,NEG,16599
MD,F,>=2,2004,2005,0110,479770.000000,4528648.000000,Harvest,NEG,16615
MD,F,>=2,2004,2005,0110,479770.000000,4528648.000000,Harvest,NEG,16615
MD,M,>=2,2004,2004,1109,479770.000000,4528648.000000,Harvest,NEG,16615
MD,F,>=2,2004,2004,1023,479773.000000,4481662.000000,Harvest,NEG,16600
MD,F,>=2,2004,2004,1020,479822.000000,4535132.000000,Harvest,NEG,16618
MD,M,<1,2004,2005,0110,479829.000000,4536763.000000,Harvest,NEG,16618
MD,F,>=2,2004,2005,0110,479829.000000,4536763.000000,Harvest,NEG,16618
MD,M,>=2,2004,2004,1106,479892.000000,4525263.000000,Harvest,NEG,16614
MD,M,1,2004,2004,1110,479939.000000,4499503.000000,Harvest,NEG,16606
MD,F,>=2,2004,2004,1101,479939.000000,4499503.000000,Harvest,NEG,16606
MD,F,1,2004,2004,1206,479948.000000,4497929.000000,Harvest,NEG,16605
MD,M,>=2,2004,2004,1016,479956.000000,4501088.000000,Harvest,NEG,16606
MD,M,>=2,2004,2004,1016,479956.000000,4501088.000000,Harvest,NEG,16606
MD,M,>=2,2004,2004,1018,479975.000000,4502680.000000,Harvest,NEG,16607
MD,M,>=2,2004,2004,1108,479977.000000,4518740.000000,Harvest,NEG,16612
MD,M,>=2,2004,2004,1025,480168.000000,4460719.000000,Harvest,NEG,16593
MD,F,>=2,2004,2005,0124,480187.000000,4459097.000000,Harvest,POS,16592
MD,M,1,2004,2004,1021,480444.000000,4484833.000000,Harvest,NEG,16601
MD,F,>=2,2004,2005,0131,481235.000000,4468857.000000,Harvest,NEG,16595
MD,M,>=2,2004,2004,1024,481309.000000,4478513.000000,Harvest,NEG,16599
MD,M,>=2,2004,2004,1026,481309.000000,4478513.000000,Harvest,NEG,16599
MD,M,>=2,2004,2004,1018,481309.000000,4478513.000000,Harvest,NEG,16599
MD,M,1,2004,2004,1020,481339.000000,4480118.000000,Harvest,NEG,16599
MD,M,>=2,2004,2004,1020,481339.000000,4480118.000000,Harvest,NEG,16599
MD,M,>=2,2004,2004,1106,481339.000000,4480118.000000,Harvest,NEG,16599
MD,F,<1,2004,2004,1227,481339.000000,4480118.000000,Harvest,POS,16599
MD,M,>=2,2004,2004,1019,481390.000000,4528663.000000,Harvest,POS,16615
MD,F,>=2,2004,2005,0124,481392.000000,4481710.000000,Harvest,NEG,16600
MD,M,>=2,2004,2004,1022,481392.000000,4481710.000000,Harvest,NEG,16600
MD,M,>=2,2004,2004,1022,481392.000000,4481710.000000,Harvest,POS,16600
MD,F,<1,2004,2005,0131,481425.000000,4530252.000000,Harvest,NEG,16616
MD,F,>=2,2004,2005,0131,481425.000000,4530252.000000,Harvest,NEG,16616
MD,F,>=2,2004,2005,0124,481447.000000,4535122.000000,Harvest,NEG,16618
MD,F,>=2,2004,2005,0124,481447.000000,4535122.000000,Harvest,NEG,16618
MD,F,>=2,2004,2005,0121,481447.000000,4535122.000000,Harvest,NEG,16618
MD,M,>=2,2004,2004,1101,481447.000000,4535122.000000,Harvest,NEG,16618
MD,M,>=2,2004,2004,1022,481447.000000,4535122.000000,Harvest,POS,16618
MD,F,<1,2004,2004,1221,481454.000000,4537986.000000,Harvest,NEG,16618
MD,M,<1,2004,2004,1214,481454.000000,4537986.000000,Harvest,NEG,16618
MD,F,>=2,2004,2005,0118,481454.000000,4537986.000000,Harvest,NEG,16618
MD,F,>=2,2004,2004,1220,481500.000000,4525281.000000,Harvest,POS,16614
MD,F,>=2,2004,2004,1104,481524.000000,4499491.000000,Harvest,NEG,16606
MD,M,>=2,2004,2004,1104,481524.000000,4499491.000000,Harvest,NEG,16606
MD,M,>=2,2004,2004,1104,481524.000000,4499491.000000,Harvest,NEG,16606
MD,M,>=2,2004,2004,1108,481524.000000,4499491.000000,Harvest,NEG,16606
MD,M,>=2,2004,2004,1102,481545.000000,4510688.000000,Harvest,NEG,16609
MD,M,>=2,2004,2004,1115,481545.000000,4510688.000000,Harvest,NEG,16609
MD,M,>=2,2004,2004,1108,481547.000000,4502677.000000,Harvest,NEG,16607
MD,F,>=2,2004,2004,1107,481550.000000,4505855.000000,Harvest,NEG,16608
MD,M,>=2,2004,2004,1021,481550.000000,4505855.000000,Harvest,NEG,16608
MD,M,1,2004,2004,1110,481550.000000,4512287.000000,Harvest,NEG,16610
MD,M,>=2,2004,2004,1110,481550.000000,4512287.000000,Harvest,NEG,16610
MD,M,>=2,2004,2004,1101,481578.000000,4513880.000000,Harvest,NEG,16610
MD,F,>=2,2004,2005,0201,481584.000000,4520339.000000,Harvest,NEG,16613
MD,F,>=2,2004,2005,0131,481700.000000,4462321.000000,Harvest,NEG,16593
MD,M,>=2,2004,2004,1017,481700.000000,4462321.000000,Harvest,NEG,16593
MD,M,>=2,2004,2004,1112,481700.000000,4462321.000000,Harvest,NEG,16593
MD,M,>=2,2004,2004,1112,481700.000000,4462321.000000,Harvest,NEG,16593
MD,F,>=2,2004,2005,0112,481714.000000,4460715.000000,Harvest,POS,16593
MD,F,>=2,2004,2004,1005,481776.000000,4457501.000000,Harvest,NEG,16592
MD,F,>=2,2004,2004,1207,482852.000000,4476909.000000,Harvest,NEG,16747
MD,M,>=2,2004,2004,1107,482888.000000,4468855.000000,Harvest,NEG,16744
MD,M,>=2,2004,2004,1112,482888.000000,4468855.000000,Harvest,NEG,16744
MD,F,>=2,2004,2004,1022,482942.000000,4480147.000000,Harvest,POS,16748
MD,F,>=2,2004,2004,0919,483013.000000,4486521.000000,Harvest,NEG,16750
MD,M,>=2,2004,2004,1108,483021.000000,4469188.000000,Harvest,POS,16745
MD,F,>=2,2004,2004,1123,483040.000000,4528569.000000,Harvest,NEG,16764
MD,F,>=2,2004,2004,1123,483040.000000,4528569.000000,Harvest,POS,16764
MD,M,>=2,2004,2004,1111,483049.000000,4491347.000000,Harvest,NEG,16752
MD,M,>=2,2004,2004,1111,483049.000000,4491347.000000,Harvest,POS,16752
MD,F,>=2,2004,2004,1124,483083.000000,4535113.000000,Harvest,POS,16767
MD,M,>=2,2004,2004,1202,483116.000000,4499522.000000,Harvest,NEG,16755
